,Outputs,λ,q0,q1,q2,q3,q4,q5,q6,5PRes,5PResT,Wall time,Process time,Wall time sim,Process time sim
,"[0.137618512924998, 0.147179416308505, 0.150534140738415, 0.149646020691356, 0.145570638635638, 0.139006043421330, 0.130445227279758]",1.0,0.137618512924998,0.147179416308505,0.150534140738415,0.149646020691356,0.145570638635638,0.139006043421330,0.130445227279758,2.95716989518715,14.7858494759358,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.136135466161221, 0.148134019125815, 0.152429412742849, 0.151355114413632, 0.146261060921811, 0.138099501227064, 0.127585425407608]",1.25,0.136135466161221,0.148134019125815,0.152429412742849,0.151355114413632,0.146261060921811,0.138099501227064,0.127585425407608,2.94811249012062,14.7405624506031,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.134604096398130, 0.149044316735662, 0.154316014882732, 0.153067335709982, 0.146952296867085, 0.137208259118931, 0.124807680287479]",1.5,0.134604096398130,0.149044316735662,0.154316014882732,0.153067335709982,0.146952296867085,0.137208259118931,0.124807680287479,2.93957491841894,14.6978745920947,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.133032426856521, 0.149912644739976, 0.156194202188851, 0.154781980740180, 0.147642796099164, 0.136329681023633, 0.122106268351675]",1.75,0.133032426856521,0.149912644739976,0.156194202188851,0.154781980740180,0.147642796099164,0.136329681023633,0.122106268351675,2.93150419096309,14.6575209548155,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.131427414053585, 0.150741050295691, 0.158064153756376, 0.156498399678785, 0.148331205128032, 0.135461534040659, 0.119476243046871]",2.0,0.131427414053585,0.150741050295691,0.158064153756376,0.156498399678785,0.148331205128032,0.135461534040659,0.119476243046871,2.92385450584145,14.6192725292072,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.128140805578495, 0.152285129148989, 0.161779784225906, 0.159934202026335, 0.149697155554519, 0.133749237209450, 0.114413686256307]",2.5,0.128140805578495,0.152285129148989,0.161779784225906,0.159934202026335,0.149697155554519,0.133749237209450,0.114413686256307,2.90966422948297,14.5483211474149,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.124784140557098, 0.153688822632776, 0.165463375308012, 0.163370452059739, 0.151042280530240, 0.132059364444199, 0.109591564467934]",3.0,0.124784140557098,0.153688822632776,0.165463375308012,0.163370452059739,0.151042280530240,0.132059364444199,0.109591564467934,2.89674226057758,14.4837113028879,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.121388165094809, 0.154962113953778, 0.169114938205472, 0.166803452550477, 0.152360455971038, 0.130383230579468, 0.104987643644958]",3.5,0.121388165094809,0.154962113953778,0.169114938205472,0.166803452550477,0.152360455971038,0.130383230579468,0.104987643644958,2.88488618666740,14.4244309333370,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.117976837441854, 0.156113336066029, 0.172734211198212, 0.170229995893771, 0.153646879636264, 0.128714571558340, 0.100584168205529]",4.0,0.117976837441854,0.156113336066029,0.172734211198212,0.170229995893771,0.153646879636264,0.128714571558340,0.100584168205529,2.87393713171370,14.3696856585685,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.111179512929805, 0.158077114615596, 0.179874131708724, 0.177052847353612, 0.156110136989263, 0.125383133415946, 0.0923231229870529]",5.0,0.111179512929805,0.158077114615596,0.179874131708724,0.177052847353612,0.156110136989263,0.125383133415946,0.0923231229870529,2.85427887305298,14.2713943652649,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
