,Outputs,λ,q0,q1,q2,q3,q4,q5,q6,6PRes,6PResT,Wall time,Process time,Wall time sim,Process time sim
,"[0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143]",0.0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,3.00000000000000,18.0000000000000,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.143689681093028, 0.143954932850625, 0.143832005538760, 0.143407995147171, 0.142722514025526, 0.141789474084459, 0.140603397260431]",0.1,0.143689681093028,0.143954932850625,0.143832005538760,0.143407995147171,0.142722514025526,0.141789474084459,0.140603397260431,2.98530073945664,17.9118044367399,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.144461476839549, 0.145021862668264, 0.144793125705494, 0.143955832072839, 0.142596387480950, 0.140751179202713, 0.138420136030191]",0.2,0.144461476839549,0.145021862668264,0.144793125705494,0.143955832072839,0.142596387480950,0.140751179202713,0.138420136030191,2.97113787241628,17.8268272344977,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.145175359624124, 0.146059601723993, 0.145741561961797, 0.144501132449129, 0.142478455427600, 0.139740643285143, 0.136303245528214]",0.3,0.145175359624124,0.146059601723993,0.145741561961797,0.144501132449129,0.142478455427600,0.139740643285143,0.136303245528214,2.95748263430037,17.7448958058022,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.145834041560339, 0.147069711691954, 0.146678280845359, 0.145044310284273, 0.142368396770287, 0.138756341237063, 0.134248917610723]",0.4,0.145834041560339,0.147069711691954,0.146678280845359,0.145044310284273,0.142368396770287,0.138756341237063,0.134248917610723,2.94430800316630,17.6658480189978,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.146440117225290, 0.148053652435773, 0.147604164760932, 0.145585722673560, 0.142265882293064, 0.137796834783201, 0.132253625828179]",0.5,0.146440117225290,0.148053652435773,0.147604164760932,0.145585722673560,0.142265882293064,0.137796834783201,0.132253625828179,2.93158860803566,17.5895316482139,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.146996064822818, 0.149012787985778, 0.148520019343244, 0.146125676777074, 0.142170578862294, 0.136860769008547, 0.130314103200245]",0.6,0.146996064822818,0.149012787985778,0.148520019343244,0.146125676777074,0.142170578862294,0.136860769008547,0.130314103200245,2.91930063669687,17.5158038201812,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.147504248329896, 0.149948392449559, 0.149426580253583, 0.146664435975357, 0.142082152812454, 0.135946868617639, 0.128427321561512]",0.7,0.147504248329896,0.149948392449559,0.149426580253583,0.146664435975357,0.142082152812454,0.135946868617639,0.128427321561512,2.90742174458988,17.4445304675393,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.147966920378835, 0.150861655772939, 0.150324519426781, 0.147202225291345, 0.142000272649767, 0.135053934039895, 0.126590472440439]",0.8,0.147966920378835,0.150861655772939,0.150324519426781,0.147202225291345,0.142000272649767,0.135053934039895,0.126590472440439,2.89593096594171,17.3755857956503,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.148386225674674, 0.151753689293356, 0.151214450793415, 0.147739236160185, 0.141924611188405, 0.134180837478468, 0.124800949411497]",0.9,0.148386225674674,0.151753689293356,0.151214450793415,0.147739236160185,0.141924611188405,0.134180837478468,0.124800949411497,2.88480862797568,17.3088517678541,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.148764204786075, 0.152625531047022, 0.152096935507005, 0.148275630621463, 0.141854847216297, 0.133326518976040, 0.123056331846098]",1.0,0.148764204786075,0.152625531047022,0.152096935507005,0.148275630621463,0.141854847216297,0.133326518976040,0.123056331846098,2.87403626874740,17.2442176124844,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.149540849803548, 0.154723005394137, 0.154273829164725, 0.149614760011767, 0.141704198806916, 0.131266487917377, 0.118876868901530]",1.25,0.149540849803548,0.154723005394137,0.154273829164725,0.149614760011767,0.141704198806916,0.131266487917377,0.118876868901530,2.84852539198262,17.0911523518957,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
,"[0.150098855512148, 0.156713674360455, 0.156414170776233, 0.150952398559608, 0.141583801471497, 0.129303771020681, 0.114933328299378]",1.5,0.150098855512148,0.156713674360455,0.156414170776233,0.150952398559608,0.141583801471497,0.129303771020681,0.114933328299378,2.82485324237741,16.9491194542644,25050.669724941254,24686.376065999997,23524.02941083908,23166.211389999997
