,,Outputs,λ,q0,q1,q2,q3,q4,q5,q6,2PRes,2PResT,Wall time,Process time,Wall time sim,Process time sim
0,,"[0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143]",0.0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,3.00000000000000,6.00000000000000,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
1,,"[0.135003433589359, 0.143217731743080, 0.144419729925272, 0.144749590649155, 0.144644633299053, 0.144268620196415, 0.143696260597667]",0.1,0.135003433589359,0.143217731743080,0.144419729925272,0.144749590649155,0.144644633299053,0.144268620196415,0.143696260597667,3.02840516130538,6.05681032261075,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
2,,"[0.127636121244402, 0.143400383248105, 0.145878201755580, 0.146576830812464, 0.146383256327559, 0.145635294637492, 0.144489911974397]",0.2,0.127636121244402,0.143400383248105,0.145878201755580,0.146576830812464,0.146383256327559,0.145635294637492,0.144489911974397,3.05553624954074,6.11107249908147,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
3,,"[0.120720345162064, 0.143418130985951, 0.147238698002121, 0.148343228497895, 0.148076835182486, 0.146960857699559, 0.145241904469924]",0.3,0.120720345162064,0.143418130985951,0.147238698002121,0.148343228497895,0.148076835182486,0.146960857699559,0.145241904469924,3.08148826853116,6.16297653706233,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
4,,"[0.114224085203132, 0.143283366278269, 0.148506920936582, 0.150052732948852, 0.149728770755277, 0.148248557429160, 0.145955566448729]",0.4,0.114224085203132,0.143283366278269,0.148506920936582,0.150052732948852,0.149728770755277,0.148248557429160,0.145955566448729,3.10634667585727,6.21269335171454,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
5,,"[0.108117920367747, 0.143007831579459, 0.149688166877811, 0.151708920701446, 0.151342091872009, 0.149501255699032, 0.146633812902496]",0.5,0.108117920367747,0.143007831579459,0.149688166877811,0.151708920701446,0.151342091872009,0.149501255699032,0.146633812902496,3.13018845083759,6.26037690167519,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
6,,"[0.102374803723395, 0.142602623927487, 0.150787356935280, 0.153315034959841, 0.152919499944641, 0.150721478283902, 0.147279202225454]",0.6,0.102374803723395,0.142602623927487,0.150787356935280,0.153315034959841,0.152919499944641,0.150721478283902,0.147279202225454,3.15308304722837,6.30616609445673,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
7,,"[0.0969698544336138, 0.142078205844048, 0.151809066447553, 0.154874021196866, 0.154463408438842, 0.151911458494198, 0.147893985144880]",0.7,0.0969698544336138,0.142078205844048,0.151809066447553,0.154874021196866,0.154463408438842,0.151911458494198,0.147893985144880,3.17509323942539,6.35018647885077,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
8,,"[0.0918801668349248, 0.141444421669831, 0.152757552749846, 0.156388559149107, 0.155975977642937, 0.153073175117936, 0.148480146835417]",0.8,0.0918801668349248,0.141444421669831,0.152757552749846,0.156388559149107,0.155975977642937,0.153073175117936,0.148480146835417,3.19627587179078,6.39255174358155,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
9,,"[0.0870846359824611, 0.140710517764372, 0.153636781080779, 0.157861091443038, 0.157459145223149, 0.154208385367634, 0.149039443138567]",0.9,0.0870846359824611,0.140710517764372,0.153636781080779,0.157861091443038,0.157459145223149,0.154208385367634,0.149039443138567,3.21668252081721,6.43336504163442,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
10,,"[0.0825637987738857, 0.139885165349661, 0.154450448558825, 0.159293849121457, 0.158914653029939, 0.155318653465245, 0.149573431700987]",1.0,0.0825637987738857,0.139885165349661,0.154450448558825,0.159293849121457,0.158914653029939,0.155318653465245,0.149573431700987,3.23636007948359,6.47272015896717,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
11,,"[0.0723489246280363, 0.137473702875994, 0.156219884814547, 0.162714720328369, 0.162442342060636, 0.157994006779799, 0.150806418512619]",1.25,0.0723489246280363,0.137473702875994,0.156219884814547,0.162714720328369,0.162442342060636,0.157994006779799,0.150806418512619,3.28263554670745,6.56527109341489,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
12,,"[0.0634966345526862, 0.134653063627691, 0.157648630765016, 0.165926950439684, 0.165827280006230, 0.160539962075662, 0.151907478533032]",1.5,0.0634966345526862,0.134653063627691,0.157648630765016,0.165926950439684,0.165827280006230,0.160539962075662,0.151907478533032,3.32518497807819,6.65036995615639,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
13,,"[0.0558041497726589, 0.131518306557519, 0.158777609137420, 0.168953138531231, 0.169085801339733, 0.162970530536627, 0.152890464124811]",1.75,0.0558041497726589,0.131518306557519,0.158777609137420,0.168953138531231,0.169085801339733,0.162970530536627,0.152890464124811,3.36447158321698,6.72894316643397,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
14,,"[0.0491031222977353, 0.128148900496793, 0.159641885831779, 0.171812030157708, 0.172231009716840, 0.165296741590324, 0.153766309908821]",2.0,0.0491031222977353,0.128148900496793,0.159641885831779,0.171812030157708,0.172231009716840,0.165296741590324,0.153766309908821,3.40087436890538,6.80174873781076,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
15,,"[0.0381357322795838, 0.120959109572783, 0.160693376641371, 0.177088706504329, 0.178222528536977, 0.169670018048578, 0.155230528416379]",2.5,0.0381357322795838,0.120959109572783,0.160693376641371,0.177088706504329,0.178222528536977,0.169670018048578,0.155230528416379,3.46623535725758,6.93247071451516,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
16,,"[0.0297167051035935, 0.113485793441565, 0.161001110996273, 0.181858162186805, 0.183868483861549, 0.173714305028622, 0.156355439381593]",3.0,0.0297167051035935,0.113485793441565,0.161001110996273,0.181858162186805,0.183868483861549,0.173714305028622,0.156355439381593,3.52324059887339,7.04648119774678,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
