0.000000,res4,sumRes4
0.014671,2.995701,14.978505
0.030842,2.991088,14.95544
0.048665,2.986149,14.930745000000002
0.068309,2.980874,14.90437
0.089962,2.975245,14.876225000000002
0.113829,2.969265,14.846325
0.140134,2.9629269999999996,14.814634999999999
0.169126,2.956214,14.78107
0.201078,2.9491449999999997,14.745724999999998
0.236289,2.9417,14.7085
0.27509,2.933903,14.669515
0.31784,2.925739,14.628695
0.364938,2.9172320000000003,14.586160000000001
0.416818,2.908372,14.54186
0.473956,2.8992010000000006,14.496005000000004
0.536873,2.8897000000000004,14.448500000000003
0.60614,2.879906,14.39953
0.682376,2.8698211999999996,14.349105999999999
0.766256,2.8594762,14.297381
0.858512,2.8488784000000003,14.244392000000001
0.959936,2.8380552,14.190275999999999
1.07138,2.8270204,14.135102
1.193761,2.8158178,14.079089
1.328058,2.8044634,14.022317
1.475319,2.7929927999999995,13.964963999999998
1.636657,2.78144,13.9072
1.813259,2.7698574000000002,13.849287
2.006385,2.7582835,13.791417500000001
2.217377,2.7467734999999998,13.733867499999999
2.447672,2.7353896000000004,13.676948000000003
2.698809,2.7241806,13.620903
2.972454,2.7132188000000004,13.566094000000001
3.270415,2.7025575,13.512787500000002
3.594674,2.6922567,13.4612835
3.947414,2.6823756999999997,13.411878499999998
4.331053,2.6729539,13.3647695
4.748283,2.6640259599999996,13.320129799999998
5.202104,2.65562866,13.2781433
5.695868,2.64777248,13.2388624
6.23332,2.64046792,13.202339599999998
6.818629,2.63370076,13.1685038
7.456434,2.6274652000000005,13.137326000000002
8.151873,2.6217285400000003,13.1086427
8.910624,2.6164609180000005,13.082304590000003
9.738945,2.611624006,13.05812003
10.643713,2.6071829619999995,13.035914809999998
11.63249,2.6030927075999997,13.015463537999999
12.713586,2.5993205836,12.996602918
13.896164,2.5958481216,12.979240608
15.190346,2.59266629106,12.9633314553
16.607361,2.5897946703800003,12.948973351900001
18.159691,2.5872592151799996,12.936296075899998
19.861237,2.58511351138,12.925567556899999
21.727465,2.5834146428832003,12.917073214416002
23.775534,2.5822102652038,12.911051326019
26.024413,2.5815438220917404,12.907719110458702
28.494988,2.5814185116248014,12.907092558124006
31.21019,2.581812187187801,12.909060935939005
34.195155,2.58266907621841,12.91334538109205
37.477421,2.5839053536063714,12.919526768031858
41.08718,2.5854283655144648,12.927141827572324
45.057543,2.5871441793030256,12.935720896515129
49.424852,2.5889650707259007,12.944825353629504
54.229013,2.590825111533855,12.954125557669276
59.513862,2.592670576234535,12.963352881172675
65.327569,2.594465539738087,12.972327698690435
71.723082,2.5961950851781666,12.980975425890833
78.758612,2.5978400201552048,12.989200100776024
86.498171,2.5993934837679102,12.996967418839551
95.012156,2.600861676078501,13.004308380392505
104.377998,2.60223854754388,13.0111927377194
114.680863,2.603527370184318,13.01763685092159
126.014434,2.604732076682461,13.023660383412306
138.48176,2.6058550135593013,13.029275067796506
152.196194,2.606900002014537,13.034500010072685
167.282424,2.607871000247151,13.039355001235755
183.877611,2.608771000024564,13.04385500012282
202.132627,2.6096040000019367,13.048020000009684
222.213436,2.610373000000118,13.051865000000591
244.302598,2.6110840000000053,13.055420000000026
268.600929,2.611739,13.058695
295.329328,2.6123420000000004,13.061710000000001
324.730785,2.6128970000000002,13.064485000000001
357.07259,2.613407,13.067035
392.648762,2.6138749999999997,13.069374999999999
431.782725,2.6143039999999997,13.07152
474.830242,2.614697,13.073485
522.182658,2.6150580000000003,13.075290000000003
574.27045,2.615387,13.076935
631.567145,2.615689,13.078445
694.593624,2.615965,13.079825
763.922855,2.616217,13.081084999999998
840.185106,2.616447,13.082235
924.073668,2.616657,13.083285
1016.351168,2.616849,13.084245000000001
1117.856491,2.617024,13.08512
1229.512413,2.617184,13.08592
1352.33399,2.617329,13.086644999999999
1487.437779,2.6174619999999997,13.087309999999999
1636.052,2.6175829999999998,13.087914999999999
1799.527688,2.617693,13.088465
1979.350989,2.6177930000000003,13.088965000000002
2177.156658,2.6178850000000002,13.089425000000002
2394.74293,2.617968,13.089839999999999
2634.087862,2.6180440000000003,13.090220000000002
2897.367316,2.618112,13.09056
3186.974742,2.6181750000000004,13.090875000000002
3505.542936,2.618232,13.091159999999999
3855.967971,2.6182839999999996,13.091419999999998
4241.43553,2.6183319999999997,13.091659999999997
4665.449863,2.6183750000000003,13.091875000000002
5131.865647,2.618414,13.09207
5644.923024,2.61845,13.09225
6209.286153,2.618482,13.092410000000001
6830.085607,2.6185110000000003,13.092555
7512.965019,2.618538,13.092690000000001
8264.132382,2.618563,13.092815
9090.416491,2.6185850000000004,13.092925000000001
9999.32902,2.6186049999999996,13.093024999999997
10999.132809,2.6186230000000004,13.093115000000001
12098.916985,2.6186399999999996,13.093199999999998
13308.679584,2.618655,13.093275
14639.41845,2.6186689999999997,13.093345
16103.231208,2.6186819999999997,13.093409999999999
17713.425246,2.6186930000000004,13.093465000000002
19484.638692,2.618703,13.093515
21432.973488,2.6187129999999996,13.093564999999998
23576.141766,2.618721,13.093605
25933.626876,2.618729,13.093645
28526.8605,2.6187359999999997,13.093679999999999
31379.417488,2.6187430000000003,13.093715000000001
34517.230179,2.618749,13.093745000000002
37968.824141,2.618754,13.09377
41765.577501,2.618759,13.093795
45942.006198,2.618763,13.093815
50536.077768,2.6187669999999996,13.093834999999999
55589.556496,2.6187709999999997,13.093854999999998
61148.383098,2.618774,13.09387
67263.092361,2.6187769999999997,13.093884999999998
73989.272553,2.61878,13.093900000000001
81388.070764,2.6187820000000004,13.093910000000001
89526.748797,2.6187850000000004,13.093925000000002
